,Kho trung tam Vinh,Khach hang 01,Khach hang 02,Khach hang 03,Khach hang 04,Khach hang 05,Khach hang 06,Khach hang 07,Khach hang 08,Khach hang 09,Khach hang 10,Khach hang 11,Khach hang 12,Khach hang 13,Khach hang 14,Khach hang 15,Khach hang 16,Khach hang 17,Khach hang 18,Khach hang 19,Khach hang 20,Khach hang 21,Khach hang 22,Khach hang 23,Khach hang 24,Khach hang 25,Khach hang 26,Khach hang 27,Khach hang 28,Khach hang 29,Khach hang 30,Khach hang 31,Khach hang 32,Khach hang 33,Khach hang 34,Khach hang 35,Khach hang 36,Khach hang 37,Khach hang 38,Khach hang 39,Khach hang 40,Khach hang 41,Khach hang 42,Khach hang 43,Khach hang 44,Khach hang 45,Khach hang 46,Khach hang 47,Khach hang 48,Khach hang 49,Khach hang 50,Khach hang 51,Khach hang 52,Khach hang 53,Khach hang 54,Khach hang 55,Khach hang 56,Khach hang 57,Khach hang 58,Khach hang 59,Khach hang 60,Khach hang 61,Khach hang 62,Khach hang 63,Khach hang 64,Khach hang 65,Khach hang 66,Khach hang 67,Khach hang 68,Khach hang 69,Khach hang 70,Khach hang 71,Khach hang 72,Khach hang 73,Khach hang 74,Khach hang 75,Khach hang 76,Khach hang 77,Khach hang 78,Khach hang 79,Khach hang 80,Khach hang 81,Khach hang 82,Khach hang 83,Khach hang 84,Khach hang 85,Khach hang 86,Khach hang 87,Khach hang 88,Khach hang 89,Khach hang 90,Khach hang 91,Khach hang 92,Khach hang 93,Khach hang 94,Khach hang 95,Khach hang 96,Khach hang 97,Khach hang 98,Khach hang 99,Khach hang 100
Kho trung tam Vinh,0.00,275.14,592.80,436.92,543.67,428.61,320.63,387.27,58.09,140.91,315.40,534.92,363.23,622.93,192.19,616.96,611.90,298.52,490.41,604.96,683.76,465.42,574.36,447.94,231.50,762.49,441.78,157.40,802.97,485.66,392.92,550.29,802.97,391.52,275.03,143.89,601.94,577.47,574.36,247.73,597.10,703.41,594.39,385.03,599.23,317.50,407.32,725.75,244.40,417.98,398.08,253.17,239.42,399.10,549.51,802.97,695.90,262.72,773.15,534.11,754.57,809.95,530.18,485.66,170.28,230.46,551.93,574.36,577.47,767.98,606.62,622.40,635.63,687.42,324.46,316.38,365.46,403.09,129.82,479.13,583.26,325.65,71.94,243.68,176.15,487.35,183.26,122.05,572.80,762.49,534.11,297.31,271.62,755.10,685.86,271.96,577.47,335.10,221.05,722.86,389.89
Khach hang 01,275.34,0.00,736.53,634.95,748.25,448.58,413.30,479.94,235.61,172.01,212.82,732.95,228.09,836.15,117.87,709.63,704.57,493.68,688.44,697.63,896.98,580.39,720.52,661.16,242.89,975.71,627.00,153.96,1016.19,578.33,539.08,570.27,1016.19,506.36,367.70,357.11,694.61,782.05,720.52,452.77,689.77,916.63,786.26,598.25,691.89,307.21,476.57,938.97,168.04,510.65,418.05,389.83,166.67,419.07,695.67,1016.19,909.12,168.21,986.37,602.06,967.79,1023.17,734.76,578.33,253.01,436.96,644.59,720.52,782.05,981.20,699.29,835.62,848.85,900.64,529.04,463.72,355.16,616.31,245.34,625.30,796.48,538.87,296.14,360.38,258.88,580.02,396.48,284.88,786.02,975.71,602.06,110.62,309.05,968.32,899.08,424.88,782.05,482.45,109.09,936.08,254.75
Khach hang 02,636.32,737.88,0.00,613.56,560.50,683.48,344.30,290.59,644.60,632.00,843.30,711.56,891.13,253.68,711.92,220.37,215.31,560.82,667.05,496.71,314.51,389.64,895.86,411.33,780.63,393.24,847.95,645.15,433.72,406.29,824.72,773.61,433.72,363.38,483.63,568.52,492.75,555.61,895.86,430.99,495.35,334.15,171.70,339.78,202.64,673.13,815.76,356.50,680.00,613.39,652.95,731.34,670.84,653.97,870.87,433.72,326.64,790.03,403.90,665.55,385.32,440.70,547.01,406.29,719.41,438.19,550.44,895.86,555.61,398.72,210.03,253.14,264.14,318.17,494.85,724.81,625.18,228.88,538.29,791.55,214.01,424.06,586.03,463.91,722.46,407.54,586.55,583.42,203.55,393.24,665.55,804.59,671.98,385.84,316.61,439.11,555.61,743.53,683.79,353.60,917.79
Khach hang 03,435.71,636.93,573.38,0.00,268.34,643.87,434.98,488.81,454.48,526.70,662.28,119.45,710.11,603.51,539.08,698.07,693.01,171.88,74.94,812.44,664.34,513.50,303.76,336.93,577.62,743.07,268.53,547.18,783.55,598.33,435.72,765.55,783.55,478.65,444.03,341.82,716.29,302.15,303.76,334.85,711.46,683.98,574.97,278.52,680.34,633.53,426.82,706.33,601.34,573.78,613.34,401.27,596.37,614.36,278.76,783.55,676.47,609.60,753.73,749.38,735.15,790.52,254.85,598.33,508.63,317.58,666.28,303.76,302.15,748.55,687.73,602.97,616.21,668.00,126.23,335.87,585.58,383.66,486.77,199.45,563.84,412.77,385.41,330.80,506.49,601.71,291.29,382.81,553.38,743.07,749.38,644.19,626.64,735.67,666.44,359.08,302.15,354.60,591.05,703.43,736.77
Khach hang 04,542.46,750.24,520.32,268.34,0.00,750.63,521.19,467.48,564.64,633.46,775.59,365.86,823.41,550.46,652.38,645.02,639.96,285.18,318.92,850.53,611.28,460.45,550.16,352.93,690.92,690.01,514.94,660.48,730.49,605.93,549.08,872.31,730.49,491.30,550.78,455.12,775.61,60.78,550.16,441.61,770.77,630.93,521.91,233.16,627.28,740.28,540.12,653.27,708.10,680.54,720.10,514.57,703.12,721.12,525.17,730.49,623.42,722.90,700.67,856.13,682.09,737.47,13.49,605.93,621.93,424.34,765.97,550.16,60.78,695.50,634.68,549.92,563.15,614.95,219.21,449.18,692.33,330.61,593.52,445.85,510.78,419.27,492.16,437.56,619.79,622.64,404.60,489.56,500.32,690.01,856.13,757.49,733.39,682.62,613.39,465.84,60.78,467.90,704.35,650.38,850.07
Khach hang 05,429.43,447.36,683.04,643.43,750.19,0.00,359.81,426.45,429.42,369.11,580.41,741.43,605.46,814.75,445.32,542.82,547.88,554.46,696.92,321.30,875.58,526.90,925.73,654.46,545.60,954.31,779.08,382.26,994.79,466.90,755.85,148.45,994.79,452.87,265.85,490.91,361.29,783.99,925.73,399.28,366.13,895.22,732.77,591.54,560.55,141.38,744.62,917.57,333.02,172.92,30.53,620.24,309.01,31.55,900.74,994.79,887.71,527.14,964.97,175.01,946.39,1001.77,736.69,466.90,504.23,389.21,507.11,925.73,783.99,959.79,553.16,814.21,805.12,879.24,530.97,653.68,93.43,609.60,323.12,821.43,775.08,504.27,419.19,349.12,510.11,449.85,508.93,495.75,764.62,954.31,175.01,514.08,329.53,946.91,877.68,371.39,783.99,672.40,393.27,914.67,632.12
Khach hang 06,321.38,414.65,344.30,434.98,521.19,360.25,0.00,87.71,321.37,308.77,520.07,532.99,567.90,476.01,388.69,317.40,312.34,346.02,488.48,451.93,536.84,188.17,717.29,372.02,457.40,615.57,570.63,321.92,656.05,186.10,547.40,481.93,656.05,114.13,160.40,282.46,355.78,516.30,717.29,127.61,350.94,556.48,394.03,300.47,299.67,349.90,536.17,578.83,356.77,290.16,329.72,445.27,347.61,330.74,692.29,656.05,548.98,466.80,626.23,465.75,607.65,663.03,507.70,186.10,396.18,134.81,313.15,717.29,516.30,621.06,307.06,475.47,466.38,540.50,322.52,445.23,301.95,298.01,215.06,612.98,436.34,179.76,298.09,140.68,402.06,196.98,300.48,297.36,425.88,615.57,465.75,481.36,348.75,608.18,538.94,115.88,516.30,463.95,360.56,575.94,594.56
Khach hang 07,388.02,481.29,290.59,488.81,467.48,426.89,87.71,0.00,388.01,375.41,586.71,586.81,634.54,422.30,455.33,263.69,258.62,399.85,542.31,428.07,483.13,149.06,771.12,318.31,524.04,561.86,624.46,388.56,602.34,162.24,601.23,548.57,602.34,106.99,227.04,336.29,331.92,462.59,771.12,174.40,327.08,502.77,340.32,246.75,245.95,416.54,590.00,525.12,423.41,356.80,396.36,499.10,414.25,397.38,746.12,602.34,495.26,533.44,572.52,532.39,553.94,609.31,453.99,162.24,462.82,181.60,322.28,771.12,462.59,567.34,253.35,421.76,412.66,486.79,376.35,499.06,368.59,244.30,281.70,666.81,382.63,172.62,353.79,207.32,468.70,178.95,354.31,351.19,372.17,561.86,532.39,548.00,415.39,554.46,485.23,182.52,462.59,517.78,427.20,522.22,661.20
Khach hang 08,58.09,235.41,614.98,451.40,564.71,429.35,321.37,388.01,0.00,112.26,275.67,549.41,323.50,645.11,152.47,617.70,612.64,310.13,504.90,605.70,705.94,487.60,536.98,470.12,191.77,784.67,443.46,117.67,825.15,486.40,355.53,551.03,825.15,413.70,275.77,166.07,602.68,598.51,536.98,269.91,597.84,725.58,616.57,407.21,599.97,311.76,371.12,747.93,209.15,418.72,398.82,215.79,205.76,399.84,512.12,825.15,718.08,222.99,795.33,534.86,776.75,832.13,551.21,486.40,130.55,252.64,552.67,536.98,598.51,790.16,607.36,644.57,657.81,709.60,345.49,280.18,359.72,425.27,130.57,441.75,605.44,347.83,94.12,265.86,136.43,488.10,205.43,101.33,594.98,784.67,534.86,257.58,272.36,777.28,708.04,294.14,598.51,298.90,181.32,745.04,350.16
Khach hang 09,140.91,171.81,633.00,527.94,634.69,368.33,309.77,376.41,112.26,0.00,252.22,625.94,300.05,713.95,120.84,606.10,601.04,389.54,581.43,594.10,774.78,476.87,624.27,538.96,217.41,853.51,530.75,54.07,893.99,474.80,442.83,490.01,893.99,402.83,264.17,234.91,591.08,668.49,624.27,338.75,586.24,794.43,682.73,476.05,588.37,226.95,451.09,816.77,138.36,407.12,337.80,303.08,134.96,338.81,599.42,893.99,786.92,198.95,864.17,521.80,845.59,900.97,621.20,474.80,187.08,321.48,541.07,624.27,668.49,859.00,595.76,713.42,726.65,778.44,415.48,367.47,274.90,494.11,127.12,529.04,674.28,416.67,162.96,256.85,192.95,476.49,274.28,188.63,663.82,853.51,521.80,233.55,206.17,846.12,776.88,321.35,668.49,386.19,117.72,813.88,326.71
