,Kho trung tam Vinh,Khach hang 01,Khach hang 02,Khach hang 03,Khach hang 04,Khach hang 05,Khach hang 06,Khach hang 07,Khach hang 08,Khach hang 09,Khach hang 10,Khach hang 11,Khach hang 12,Khach hang 13,Khach hang 14,Khach hang 15,Khach hang 16,Khach hang 17,Khach hang 18,Khach hang 19,Khach hang 20,Khach hang 21,Khach hang 22,Khach hang 23,Khach hang 24,Khach hang 25,Khach hang 26,Khach hang 27,Khach hang 28,Khach hang 29,Khach hang 30,Khach hang 31,Khach hang 32,Khach hang 33,Khach hang 34,Khach hang 35,Khach hang 36,Khach hang 37,Khach hang 38,Khach hang 39,Khach hang 40,Khach hang 41,Khach hang 42,Khach hang 43,Khach hang 44,Khach hang 45,Khach hang 46,Khach hang 47,Khach hang 48,Khach hang 49,Khach hang 50,Khach hang 51,Khach hang 52,Khach hang 53,Khach hang 54,Khach hang 55,Khach hang 56,Khach hang 57,Khach hang 58,Khach hang 59,Khach hang 60,Khach hang 61,Khach hang 62,Khach hang 63,Khach hang 64,Khach hang 65,Khach hang 66,Khach hang 67,Khach hang 68,Khach hang 69,Khach hang 70,Khach hang 71,Khach hang 72,Khach hang 73,Khach hang 74,Khach hang 75,Khach hang 76,Khach hang 77,Khach hang 78,Khach hang 79,Khach hang 80,Khach hang 81,Khach hang 82,Khach hang 83,Khach hang 84,Khach hang 85,Khach hang 86,Khach hang 87,Khach hang 88,Khach hang 89,Khach hang 90,Khach hang 91,Khach hang 92,Khach hang 93,Khach hang 94,Khach hang 95,Khach hang 96,Khach hang 97,Khach hang 98,Khach hang 99,Khach hang 100
Kho trung tam Vinh,0.0000,2.7205,6.0451,4.3672,5.4408,4.1759,3.2390,3.9010,0.5259,1.3170,3.1138,5.2959,3.5733,6.5229,1.8842,6.2414,6.1899,2.9756,4.8871,5.7559,7.1493,4.5036,5.7076,4.3949,2.2896,7.9865,4.2800,1.5491,8.3689,4.7413,3.9247,5.3515,8.3689,3.8080,2.6860,1.3930,5.7414,5.7367,5.7076,2.4748,5.6976,7.4097,6.2036,3.9691,6.0609,3.1075,4.0305,7.5825,2.4235,4.0023,3.8834,2.4554,2.3425,3.8927,5.4882,8.3689,7.2996,2.5722,8.0837,5.1145,7.8934,8.4320,5.3085,4.7413,1.6736,2.3107,5.2886,5.7076,5.7367,8.0068,6.1362,6.5152,6.6511,7.1875,3.2911,3.1592,3.5954,4.1523,1.2708,4.7427,6.1442,3.2382,0.6780,2.4643,1.7049,4.7040,1.8266,1.1087,5.9983,7.9865,5.1145,2.9439,2.6096,7.9347,7.1058,2.6973,5.7367,3.3407,2.1964,7.5867,3.8483
Khach hang 01,2.7198,0.0000,7.4021,6.2943,7.4321,4.4173,4.1890,4.8510,2.3555,1.7002,2.0437,7.2229,2.1923,8.6703,1.1441,7.1913,7.1398,4.9241,6.8142,6.7059,9.2967,5.7780,7.1957,6.5422,2.4193,10.1338,6.1024,1.4462,10.5162,5.6913,5.4128,5.5930,10.5162,5.0777,3.6360,3.5404,6.6914,7.7280,7.1957,4.5560,6.6476,9.5571,8.0251,6.1165,7.0109,2.9971,4.7868,9.7298,1.5893,4.9523,4.1249,3.8129,1.6205,4.1341,6.9763,10.5162,9.4470,1.6253,10.2311,5.8414,10.0407,10.5794,7.2998,5.6913,2.5305,4.3683,6.2386,7.1957,7.7280,10.1541,7.0862,8.6625,8.7984,9.3348,5.2824,4.6389,3.4850,6.2997,2.4562,6.2308,8.2916,5.3856,2.9766,3.6249,2.5618,5.6540,3.9739,2.8448,8.1457,10.1338,5.8414,1.0604,2.9635,10.0820,9.2532,4.2212,7.7280,4.8204,1.0038,9.7340,2.4673
Khach hang 02,6.2287,7.4189,0.0000,5.7438,5.0894,6.8569,3.4039,2.8323,6.4960,6.3663,8.4987,6.6725,8.9582,2.4879,7.1788,2.0923,2.0408,5.2562,6.2637,4.7940,3.1143,3.7382,8.4068,3.8720,7.8838,3.9514,7.9700,6.5052,4.3338,3.9246,7.8197,7.5457,4.3338,3.5110,4.8046,5.5262,4.7351,5.0349,8.4068,4.2370,4.7587,3.3747,1.5984,3.0983,1.9119,6.7687,7.7443,3.5475,6.8332,6.0651,6.5645,7.1292,6.6813,6.5737,8.1805,4.3338,3.2646,7.9495,4.0487,6.4863,3.8583,4.3970,4.9571,3.9246,7.2678,4.3100,5.2297,8.4068,5.0349,3.9718,1.9871,2.4802,2.5097,3.1525,4.6208,6.8730,6.2809,2.0722,5.4010,7.4443,2.1092,3.8392,5.7172,4.6280,7.0523,3.9359,5.6738,5.7004,1.9633,3.9514,6.4863,8.1167,6.6505,3.8997,3.0708,4.3284,5.0349,7.0545,6.8948,3.5517,9.2333
Khach hang 03,4.3547,6.3158,5.5943,0.0000,2.4968,6.4599,4.3495,4.7946,4.4896,5.2943,6.5676,1.1114,7.0271,6.0722,5.3381,6.6516,6.6001,1.6473,0.7026,7.7224,6.6986,4.8379,2.8457,3.2003,5.7341,7.5357,2.5086,5.4484,7.9181,5.7495,4.0489,7.6356,7.9181,4.6269,4.4076,3.2897,6.8519,2.7927,2.8457,3.2937,6.8081,6.9590,5.7529,2.6884,6.4712,6.3717,4.1354,7.1317,6.0628,5.6681,6.1675,3.8902,5.9819,6.1767,2.6194,7.9181,6.8489,6.0260,7.6330,7.3985,7.4426,7.9813,2.3645,5.7495,4.9028,3.1296,6.3991,2.8457,2.7927,7.5560,6.5464,6.0644,6.2003,6.7368,1.1963,3.2641,5.8839,3.7016,4.9101,1.8832,5.6935,4.0571,3.8432,3.2832,4.9566,5.8145,2.8424,3.8264,5.5476,7.5357,7.3985,6.3977,6.1565,7.4839,6.6551,3.5162,2.7927,3.4456,5.8525,7.1359,7.3021
Khach hang 04,5.4283,7.4537,4.9399,2.4968,0.0000,7.5335,4.8268,4.2551,5.6487,6.3680,7.7054,3.4096,8.1649,5.4178,6.4759,5.9972,5.9457,2.7851,2.9547,7.9681,6.0441,4.1835,5.1439,3.3107,6.8719,6.8813,4.8068,6.5863,7.2637,5.5032,5.3486,8.7092,7.2637,4.4628,5.4812,4.4276,7.0394,0.5605,5.1439,4.3674,6.9956,6.3046,5.0985,2.1561,5.8168,7.4454,5.2732,6.4773,7.1364,6.7417,7.2411,5.0280,7.0555,7.2503,4.9176,7.2637,6.1945,7.1638,6.9786,8.4722,6.7882,7.3268,0.1323,5.5032,6.0406,4.2032,6.9521,5.1439,0.5605,6.9016,5.8920,5.4100,5.5459,6.0823,2.1497,4.4019,6.9575,3.0472,5.9838,4.1814,5.0391,3.8107,4.9168,4.3568,6.0945,5.6545,3.9802,4.9000,4.8932,6.8813,8.4722,7.5356,7.2301,6.8295,6.0007,4.5898,0.5605,4.5834,6.9903,6.4815,8.4400
Khach hang 05,4.1827,4.4082,6.8514,6.4544,7.5280,0.0000,3.6383,4.3003,4.2196,3.6521,5.7845,7.3831,5.9284,8.3640,4.3983,5.3103,5.3618,5.5587,6.9743,2.9415,8.9903,5.2273,9.1174,6.4821,5.4568,9.8275,7.6710,3.7911,10.2099,4.4686,7.5207,1.3834,10.2099,4.5270,2.6484,4.9573,3.3035,7.8239,9.1174,4.0053,3.3473,9.2508,7.4744,6.0563,5.4907,1.4202,7.4214,9.4235,3.2744,1.5816,0.2924,6.1012,3.0327,0.3017,8.8911,10.2099,9.1407,5.2353,9.9248,1.5845,9.7344,10.2730,7.3957,4.4686,4.9914,3.9147,4.6237,9.1174,7.8239,9.8478,5.4155,8.3562,8.2400,9.0285,5.3783,6.5502,0.9324,6.2396,3.1246,8.1549,7.9853,5.0204,4.0665,3.5197,5.0227,4.3142,5.1048,4.8905,7.8394,9.8275,1.5845,5.1060,3.2055,9.7757,8.9469,3.6704,7.8239,6.7316,3.8841,9.4277,6.2035
Khach hang 06,3.2460,4.2057,3.4039,4.3495,4.8268,3.6437,0.0000,0.8528,3.2829,3.1531,5.2856,5.2782,5.7451,4.9164,3.9657,3.1931,3.1416,3.4538,4.8694,4.0997,5.5428,1.7798,7.0125,3.6094,4.6707,6.3800,5.5661,3.2921,6.7624,1.6930,5.4158,4.8194,6.7624,1.0795,1.5914,2.8524,3.2292,4.7723,7.0125,1.1930,3.1854,5.8032,4.0269,2.8357,3.0127,3.5556,5.3165,5.9760,3.6201,2.8519,3.3513,4.4553,3.4681,3.3605,6.7862,6.7624,5.6931,4.7363,6.4772,4.5824,6.2869,6.8255,4.6945,1.6930,4.0547,1.2661,2.8432,7.0125,4.7723,6.4003,3.0879,4.9087,4.7924,5.5810,3.2734,4.4453,3.0677,2.8359,2.1878,6.0500,4.5377,1.6737,2.9221,1.4148,4.0860,1.7915,2.9999,3.0265,4.3918,6.3800,4.5824,4.9036,3.4374,6.3282,5.4993,1.1153,4.7723,4.6267,3.6816,5.9802,6.0201
Khach hang 07,3.9081,4.8678,2.8323,4.7946,4.2551,4.3058,0.8528,0.0000,3.9449,3.8152,5.9476,5.7233,6.4071,4.3448,4.6277,2.6215,2.5700,3.8989,5.3145,3.8755,4.9712,1.3587,7.4576,3.0377,5.3327,5.8083,6.0112,3.9541,6.1907,1.4689,5.8609,5.4815,6.1907,0.9812,2.2535,3.2975,3.0051,4.2007,7.4576,1.6859,2.9613,5.2316,3.4553,2.2641,2.4411,4.2176,5.7616,5.4044,4.2821,3.5140,4.0133,4.9004,4.1302,4.0226,7.2313,6.1907,5.1215,5.3983,5.9056,5.2444,5.7152,6.2539,4.1228,1.4689,4.7167,1.7589,2.9178,7.4576,4.2007,5.8287,2.5163,4.3371,4.2208,5.0094,3.7185,4.8904,3.7298,2.2643,2.8499,6.4951,3.9661,1.5754,3.4885,2.0769,4.7480,1.6202,3.4451,3.4716,3.8202,5.8083,5.2444,5.5656,4.0994,5.7566,4.9277,1.7773,4.2007,5.0718,4.3437,5.4086,6.6821
Khach hang 08,0.5259,2.3563,6.2655,4.4585,5.5963,4.2197,3.2829,3.9449,0.0000,1.1102,2.7495,5.3872,3.2090,6.7434,1.5200,6.2852,6.2337,3.0884,4.9784,5.7998,7.3697,4.7240,5.3599,4.6153,1.9254,8.2069,4.2666,1.1849,8.5893,4.7852,3.5770,5.3954,8.5893,4.0284,2.7298,1.6134,5.7852,5.8922,5.3599,2.6953,5.7414,7.6302,6.4241,4.1895,6.1048,3.0971,3.6744,7.8029,2.0918,4.0462,3.9273,2.1077,2.0650,3.9365,5.1406,8.5893,7.5201,2.2079,8.3042,5.1584,8.1138,8.6524,5.4640,4.7852,1.3094,2.5311,5.3325,5.3599,5.8922,8.2272,6.1800,6.7356,6.8715,7.4079,3.4466,2.8032,3.5850,4.3728,1.3147,4.3950,6.3646,3.4586,0.8984,2.6847,1.3407,4.7478,2.0470,1.0091,6.2187,8.2069,5.1584,2.5797,2.6535,8.1551,7.3262,2.9177,5.8922,2.9846,1.8322,7.8071,3.4840
Khach hang 09,1.3170,1.7009,6.3465,5.3077,6.3813,3.6434,3.1333,3.7954,1.1102,0.0000,2.5230,6.2364,2.9825,7.4635,1.2032,6.1357,6.0842,3.9161,5.8276,5.6503,8.0898,4.7224,6.2440,5.3354,2.1953,8.9270,5.1507,0.5296,9.3094,4.6356,4.4611,4.8191,9.3094,4.0221,2.5803,2.3336,5.6357,6.6772,6.2440,3.4154,5.5919,8.3503,6.9695,4.9097,5.9553,2.2232,4.5628,8.5230,1.3445,3.8967,3.3510,2.9918,1.3176,3.3602,6.0247,9.3094,8.2402,1.9738,9.0243,5.0675,8.8339,9.3725,6.2490,4.6356,1.8820,3.2512,5.1829,6.2440,6.6772,8.9473,6.0305,7.4557,7.5916,8.1280,4.2316,3.6873,2.7110,5.0929,1.2522,5.2791,7.0848,4.1787,1.6185,2.5692,1.9133,4.5983,2.7671,1.8932,6.9389,8.9270,5.0675,2.3456,1.9445,8.8752,8.0464,3.1655,6.6772,3.8687,1.1768,8.5272,3.2576
