,Kho trung tam Vinh,Khach hang 01,Khach hang 02,Khach hang 03,Khach hang 04,Khach hang 05,Khach hang 06,Khach hang 07,Khach hang 08,Khach hang 09,Khach hang 10,Khach hang 11,Khach hang 12,Khach hang 13,Khach hang 14,Khach hang 15,Khach hang 16,Khach hang 17,Khach hang 18,Khach hang 19,Khach hang 20,Khach hang 21,Khach hang 22,Khach hang 23,Khach hang 24,Khach hang 25,Khach hang 26,Khach hang 27,Khach hang 28,Khach hang 29,Khach hang 30,Khach hang 31,Khach hang 32,Khach hang 33,Khach hang 34,Khach hang 35,Khach hang 36,Khach hang 37,Khach hang 38,Khach hang 39,Khach hang 40,Khach hang 41,Khach hang 42,Khach hang 43,Khach hang 44,Khach hang 45,Khach hang 46,Khach hang 47,Khach hang 48,Khach hang 49,Khach hang 50,Khach hang 51,Khach hang 52,Khach hang 53,Khach hang 54,Khach hang 55,Khach hang 56,Khach hang 57,Khach hang 58,Khach hang 59,Khach hang 60,Khach hang 61,Khach hang 62,Khach hang 63,Khach hang 64,Khach hang 65,Khach hang 66,Khach hang 67,Khach hang 68,Khach hang 69,Khach hang 70,Khach hang 71,Khach hang 72,Khach hang 73,Khach hang 74,Khach hang 75,Khach hang 76,Khach hang 77,Khach hang 78,Khach hang 79,Khach hang 80,Khach hang 81,Khach hang 82,Khach hang 83,Khach hang 84,Khach hang 85,Khach hang 86,Khach hang 87,Khach hang 88,Khach hang 89,Khach hang 90,Khach hang 91,Khach hang 92,Khach hang 93,Khach hang 94,Khach hang 95,Khach hang 96,Khach hang 97,Khach hang 98,Khach hang 99,Khach hang 100
Kho trung tam Vinh,0.0000,0.6610,1.6330,1.0946,1.3683,0.9702,0.8534,0.9990,0.1018,0.2755,0.7530,1.2914,0.8551,1.8825,0.4463,1.6507,1.6369,0.7399,1.2144,1.2840,2.0560,1.0240,1.4069,1.0433,0.5567,2.3064,0.9769,0.3712,2.3882,1.1085,0.9817,1.2363,2.3882,0.8800,0.6287,0.3173,1.2917,1.4128,1.4069,0.6193,1.2836,2.2932,1.7763,1.1024,1.6022,0.7322,0.9814,2.1765,0.5937,0.9124,0.9059,0.5623,0.5514,0.9076,1.3724,2.3882,2.1154,0.6067,2.3246,1.1660,2.2725,2.3996,1.3369,1.1085,0.3994,0.5841,1.2084,1.4069,1.4128,2.2867,1.6224,1.8788,1.9162,2.0669,0.8767,0.7896,0.8605,1.1513,0.2996,1.1559,1.9016,0.7998,0.1462,0.6512,0.3879,1.1009,0.4542,0.2177,1.7314,2.3064,1.1660,0.7182,0.6015,2.4416,1.9984,0.6612,1.4128,0.8311,0.5413,2.2015,0.9301
Khach hang 01,0.6588,0.0000,1.8836,1.5406,1.8295,1.0602,1.1135,1.2800,0.5907,0.4126,0.4704,1.7375,0.5060,2.4436,0.2627,1.9109,1.8970,1.2268,1.6605,1.5484,2.6171,1.4317,1.7991,1.5928,0.6004,2.8674,1.4132,0.3083,2.9493,1.3633,1.3739,1.3262,2.9493,1.2842,0.8835,0.8668,1.5561,1.8741,1.7991,1.1633,1.5480,2.7298,2.1730,1.6635,1.8624,0.6993,1.2161,2.7376,0.3472,1.1341,0.9959,0.8966,0.3741,0.9975,1.7646,2.9493,2.6764,0.3817,2.8856,1.3396,2.8336,2.9607,1.7982,1.3633,0.6353,1.0953,1.4194,1.7991,1.8741,2.8478,1.8826,2.4399,2.4772,2.6280,1.3200,1.1653,0.8276,1.7123,0.6184,1.5480,2.3595,1.3493,0.7577,0.9245,0.6238,1.3157,1.0037,0.7111,2.2924,2.8674,1.3396,0.2426,0.6787,2.8701,2.5595,1.0398,1.8741,1.2068,0.2080,2.7625,0.5626
Khach hang 02,1.4682,1.8900,0.0000,1.2090,0.9977,1.7363,0.8266,0.6589,1.6654,1.6302,2.1791,1.4133,2.2811,0.5899,1.8821,0.4633,0.4493,1.1112,1.3334,1.1217,0.7598,0.8577,1.7854,0.8317,2.0757,1.0051,1.7026,1.6704,1.0852,0.9208,1.7235,1.7593,1.0852,0.8244,1.1833,1.2747,1.0923,0.9785,1.7854,1.0119,1.0966,0.8885,0.3294,0.6185,0.4141,1.7250,1.7142,0.8779,1.7382,1.4735,1.6720,1.6592,1.6575,1.6736,1.7438,1.0852,0.8180,2.0296,1.0229,1.5085,0.9719,1.0964,0.9634,0.9208,1.9151,1.0309,1.1608,1.7854,0.9785,0.9858,0.4346,0.5863,0.5571,0.7705,0.9635,1.5153,1.5967,0.4011,1.3681,1.5937,0.5075,0.7431,1.3339,1.1536,1.6483,0.9229,1.2887,1.3362,0.4585,1.0051,1.5085,2.1305,1.6201,1.0288,0.7034,1.0420,0.9785,1.5583,1.7704,0.9023,2.3561
Khach hang 03,1.0911,1.5472,1.3056,0.0000,0.5136,1.6360,1.0913,1.1373,1.0878,1.3479,1.6092,0.2285,1.7113,1.5500,1.3024,1.4913,1.4773,0.3766,0.1487,1.7168,1.7199,1.0424,0.6007,0.7097,1.4093,2.0063,0.5240,1.3508,2.0881,1.3261,0.8288,1.9021,2.0881,1.0881,1.0830,0.7627,1.5567,0.5892,0.6007,0.7879,1.5486,1.8687,1.4460,0.6292,1.4421,1.6247,0.9441,1.8764,1.5563,1.3733,1.5717,0.8899,1.5140,1.5734,0.5590,2.0881,1.8153,1.4629,2.0245,1.7895,1.9724,2.0995,0.4811,1.3261,1.1424,0.7527,1.4734,0.6007,0.5892,1.9866,1.4626,1.5463,1.5830,1.7668,0.2632,0.7524,1.4964,0.8651,1.2886,0.4089,1.4983,0.9684,0.9568,0.8064,1.1675,1.3659,0.6636,0.9590,1.4019,2.0063,1.7895,1.5744,1.4675,2.0090,1.6635,0.8298,0.5892,0.7939,1.4278,1.9014,1.7862
Khach hang 04,1.3648,1.8361,1.0937,0.5136,0.0000,1.9097,0.9751,0.8430,1.4192,1.6216,1.8981,0.7056,2.0002,1.2984,1.5913,1.2303,1.2162,0.6519,0.5978,1.6819,1.4683,0.8223,1.0777,0.7022,1.6982,1.7136,1.0011,1.6397,1.7937,1.0800,1.2420,2.1758,1.7937,0.8764,1.3568,1.0239,1.3773,0.1171,1.0777,1.0616,1.3688,1.5788,1.1944,0.4558,1.1810,1.8984,1.2331,1.5864,1.8300,1.6470,1.8454,1.1788,1.7877,1.8471,1.0361,1.7937,1.5265,1.7518,1.7314,2.0632,1.6804,1.8049,0.0314,1.0800,1.3899,1.0265,1.3604,1.0777,0.1171,1.6943,1.2016,1.2948,1.3314,1.4790,0.5096,1.0413,1.7701,0.6357,1.5359,0.8860,1.2161,0.7502,1.2305,1.0801,1.4565,1.1092,0.9525,1.2327,1.1503,1.7136,2.0632,1.8633,1.7412,1.7162,1.4120,1.1035,0.1171,1.0828,1.7167,1.6108,2.0752
Khach hang 05,0.9710,1.0601,1.7342,1.6339,1.9076,0.0000,0.9611,1.1275,1.0063,0.8890,1.4378,1.8308,1.3988,2.2987,1.0651,1.2495,1.2630,1.4049,1.7538,0.5970,2.4722,1.2823,2.1894,1.5826,1.3699,2.7225,1.8405,0.9291,2.8044,1.0170,1.8607,0.2863,2.8044,1.1348,0.6575,1.3047,0.6671,1.9522,2.1894,1.0140,0.6756,2.5850,2.0205,1.6530,1.2969,0.3610,1.8449,2.5927,0.7823,0.3198,0.0667,1.4598,0.7205,0.0684,2.1493,2.8044,2.5315,1.2883,2.7407,0.3067,2.6887,2.8158,1.8763,1.0170,1.2167,0.9983,0.9227,2.1894,1.9522,2.7029,1.2771,2.2950,2.2470,2.4831,1.4273,1.6532,0.2326,1.7019,0.7089,2.0046,2.2146,1.2441,0.9321,0.9034,1.2052,0.9886,1.2920,1.1801,2.1475,2.7225,0.3067,1.2569,0.7412,2.7252,2.4146,0.8905,1.9522,1.6947,0.9404,2.6176,1.4738
Khach hang 06,0.8549,1.1202,0.8266,1.0913,0.9751,0.9632,0.0000,0.1969,0.8909,0.8549,1.4152,1.2881,1.5195,1.3721,1.0727,0.8148,0.8012,0.8623,1.2112,0.8005,1.5456,0.3889,1.6467,0.8276,1.2662,1.7960,1.2979,0.8959,1.8778,0.3346,1.3181,1.2095,1.8778,0.2358,0.3905,0.7508,0.6320,1.0070,1.6467,0.2499,0.6235,1.6584,1.0940,0.6148,0.7673,0.9517,1.3023,1.6661,0.9652,0.6807,0.8976,1.1199,0.8647,0.8992,1.6066,1.8778,1.6050,1.2626,1.8142,1.0970,1.7621,1.8892,0.9920,0.3346,1.1057,0.2697,0.5573,1.6467,1.0070,1.7763,0.7871,1.3684,1.3204,1.5565,0.8733,1.1106,0.8207,0.6330,0.5873,1.4620,1.2880,0.3451,0.6918,0.3607,1.0939,0.3537,0.7494,0.8135,1.2209,1.7960,1.0970,1.3211,0.8273,1.7987,1.4880,0.2586,1.0070,1.1521,0.9980,1.6911,1.5960
Khach hang 07,1.0004,1.2866,0.6589,1.1373,0.8430,1.1297,0.1969,0.0000,1.0573,1.0214,1.5817,1.3341,1.6859,1.2008,1.2392,0.6470,0.6335,0.9083,1.2572,0.7502,1.3743,0.2708,1.6927,0.6847,1.4327,1.6247,1.3945,1.0624,1.7065,0.2843,1.3641,1.3726,1.7065,0.2006,0.5536,0.7814,0.5817,0.8238,1.6927,0.3821,0.5732,1.4871,0.9227,0.4638,0.5996,1.1181,1.3483,1.4949,1.1316,0.8438,1.0640,1.1659,1.0278,1.0657,1.6526,1.7065,1.4337,1.4291,1.6429,1.2600,1.5908,1.7180,0.8088,0.2843,1.2721,0.4012,0.5648,1.6927,0.8238,1.6050,0.6194,1.1971,1.1492,1.3853,0.9014,1.1566,0.9871,0.4589,0.7538,1.5080,1.1168,0.3156,0.8406,0.5238,1.2604,0.3136,0.7954,0.8428,1.0497,1.6247,1.2600,1.4875,0.9903,1.6274,1.3168,0.4123,0.8238,1.1981,1.1645,1.5198,1.7625
Khach hang 08,0.1018,0.5928,1.6885,1.0797,1.3686,1.0070,0.8909,1.0573,0.0000,0.2698,0.6849,1.2766,0.7870,1.9380,0.3781,1.6882,1.6743,0.7659,1.1996,1.3221,2.1115,1.0784,1.3382,1.0976,0.4886,2.3618,0.9882,0.3031,2.4437,1.1452,0.9130,1.2730,2.4437,0.9343,0.6654,0.3716,1.3298,1.4132,1.3382,0.6737,1.3217,2.3519,1.8318,1.1579,1.6397,0.7628,0.8962,2.2320,0.5252,0.9505,0.9426,0.4935,0.5234,0.9443,1.3037,2.4437,2.1708,0.5386,2.3801,1.2041,2.3280,2.4551,1.3373,1.1452,0.3313,0.6385,1.2465,1.3382,1.4132,2.3422,1.6599,1.9343,1.9717,2.1224,0.8591,0.7044,0.8911,1.2067,0.3363,1.0871,1.9603,0.8541,0.2026,0.7066,0.3198,1.0976,0.5085,0.2502,1.7868,2.3618,1.2041,0.6501,0.6164,2.3645,2.0539,0.7155,1.4132,0.7459,0.4831,2.2569,0.8619
Khach hang 09,0.2755,0.4148,1.6043,1.3520,1.6257,0.8862,0.8284,0.9745,0.2698,0.0000,0.6337,1.5488,0.7358,2.1453,0.2982,1.6257,1.6119,0.9973,1.4719,1.2586,2.3188,1.1524,1.5679,1.3007,0.5777,2.5692,1.1820,0.1250,2.6510,1.0841,1.1427,1.1522,2.6510,1.0049,0.6042,0.5747,1.2663,1.6702,1.5679,0.8767,1.2582,2.5711,1.8879,1.3652,1.5773,0.5253,1.2063,2.4393,0.3098,0.8870,0.8219,0.7233,0.3081,0.8235,1.5334,2.6510,2.3782,0.4842,2.5874,1.1656,2.5353,2.6624,1.5943,1.0841,0.4802,0.8591,1.1830,1.5679,1.6702,2.5495,1.5975,2.1416,2.1790,2.3297,1.1395,0.9342,0.6536,1.4140,0.3009,1.3168,2.1795,1.0572,0.3983,0.6452,0.4687,1.0755,0.7265,0.4800,1.9941,2.5692,1.1656,0.5957,0.4206,2.5719,2.2612,0.7606,1.6702,0.9757,0.2951,2.4643,0.8108
