Lan_Chay,Thoi_Gian,Ten_Kich_Ban,Ca_Hoat_Dong,Che_Do_TW,Do_Rong_TW,So_Khach,Tai_Trong,T.Gian_Boc_Do,So_Xe_Dung,Chi_Phi_Tong,Khi_Thai_Tong,Chi_Phi_Per_Order,Khi_Thai_Per_Order
20260509_151257,2026-05-09 15:13:03,Baseline (3 ca),PreDawn,mixed,60,49,90,10,6,326.32,25.69,6.6596,0.5243
20260509_151257,2026-05-09 15:13:07,Baseline (3 ca),Breakfast,mixed,60,24,90,10,3,301.0,26.78,12.5418,1.1157
20260509_151257,2026-05-09 15:13:11,Baseline (3 ca),Lunch/Dinner,mixed,60,27,90,10,3,305.24,23.35,11.3053,0.8647
20260509_151445,2026-05-09 15:14:51,Baseline (3 ca),PreDawn,mixed,60,49,90,10,5,317.41,23.66,6.4777,0.4829
20260509_151445,2026-05-09 15:14:55,Baseline (3 ca),Breakfast,mixed,60,24,90,10,3,301.48,29.77,12.5618,1.2406
20260509_151445,2026-05-09 15:14:59,Baseline (3 ca),Lunch/Dinner,mixed,60,27,90,10,3,308.93,25.75,11.4418,0.9538
20260509_153604,2026-05-09 15:36:11,Baseline (3 ca),PreDawn,mixed,60,49,150,10,7,340.4,74.33,6.947,1.5169
20260509_153604,2026-05-09 15:36:14,Baseline (3 ca),Breakfast,mixed,60,24,150,10,2,257.96,64.17,10.7485,2.6736
20260509_153604,2026-05-09 15:36:18,Baseline (3 ca),Lunch/Dinner,mixed,60,27,150,10,2,263.94,49.44,9.7756,1.8311
20260509_153749,2026-05-09 15:37:55,Baseline (3 ca),PreDawn,mixed,60,49,45,10,10,364.05,30.25,7.4295,0.6173
20260509_153749,2026-05-09 15:37:59,Baseline (3 ca),Breakfast,mixed,60,24,45,10,5,449.18,26.4,18.7158,1.0999
20260509_153749,2026-05-09 15:38:02,Baseline (3 ca),Lunch/Dinner,mixed,60,27,45,10,6,458.14,24.63,16.9682,0.912
20260509_154131,2026-05-09 15:41:41,Scenario 1,All_Merged,fixed,60,100,90,10,11,912.44,137.96,9.1244,1.3796
20260509_155051,2026-05-09 15:51:00,Scenario 1,All_Merged,fixed,100,100,90,10,11,932.1,135.55,9.321,1.3555
20260509_155226,2026-05-09 15:52:36,Scenario 1,All_Merged,fixed,70,100,90,10,10,875.15,128.73,8.7515,1.2873
20260509_155302,2026-05-09 15:53:11,Scenario 1,All_Merged,fixed,30,100,90,10,11,898.43,149.41,8.9843,1.4941
20260509_155348,2026-05-09 15:53:58,Scenario 1,All_Merged,fixed,40,100,90,10,10,917.13,146.63,9.1713,1.4663
20260509_155405,2026-05-09 15:54:15,Scenario 1,All_Merged,fixed,50,100,90,10,10,925.57,141.88,9.2557,1.4188
20260509_155510,2026-05-09 15:55:20,Scenario 1,All_Merged,fixed,80,100,90,10,11,890.23,134.13,8.9023,1.3413
20260509_155538,2026-05-09 15:55:48,Scenario 1,All_Merged,fixed,90,100,90,10,12,934.49,144.88,9.3449,1.4488
